"id","description"
"02d892","a purple forest at dusk"
"0dcd2e","gray wool coat with a faux fur collar"
"1e9ac1","a lighthouse overlooking the ocean"
"2b25db","burgundy corduroy pants with patch pockets and silver buttons"
"4e6a54","orange corduroy overalls"
"4f1b00","a purple silk scarf with tassel trim"
"61b500","a green lagoon under a cloudy sky"
"65cc74","crimson rectangles forming a chaotic grid"
"7c4414","purple pyramids spiraling around a bronze cone"
"996c3a","magenta trapezoids layered on a transluscent silver sheet"
"9b71cc","a snowy plain"
"a395a3","black and white checkered pants"
"ad4c5c","a starlit night over snow-covered peaks"
"b679e3","khaki triangles and azure crescents"
"f16e62","a maroon dodecahedron interwoven with teal threads"
